GSK,CGP,CCLE
NCIH838,NCI-H838,NCI-H838
OE19,OE19,OE19
OE33,OE33,OE33
OV90,,OV-90
P3HR1,,P3HR-1
Raji,Raji,Raji
RCHACV,,RCH-ACV
RD,RD,RD
RDES,,RD-ES
REC1,,REC-1
RKOE6,RKO,RKO
RL,RL,RL
RL952,,RL95-2
RPMI6666,RPMI-6666,
RPMI8226,RPMI-8226,RPMI-8226
SCaBER,,SCaBER
SEM,,SEM
SH4,,SH-4
SHP77,SHP-77,SHP-77
SiHa,SiHa,
SJRH30,SJRH30,SJRH30
SJSA1,SJSA-1,SJSA-1
SKLMS1,SK-LMS-1,SK-LMS-1
SKMEL1,,SK-MEL-1
SKMES1,SK-MES-1,SK-MES-1
SKNAS,SK-N-AS,SK-N-AS
SKNDZ,SK-N-DZ,SK-N-DZ
SKNEP1,SK-NEP-1,
SKNFI,SK-N-FI,SK-N-FI
SKOV3,SK-OV-3,SK-OV-3
SKUT1,SK-UT-1,SK-UT-1
SNB19,SNB19,SNB19
SNU1,NCI-SNU-1,NCI-SNU-1
SNU16,NCI-SNU-16,NCI-SNU-16
SNU182,,SNU-182
SNU387,SNU-387,SNU-387
SNU398,,SNU-398
SNU423,SNU-423,SNU-423
SNU449,SNU-449,SNU-449
SNU475,SNU-475,SNU-475
SNU5,NCI-SNU-5,NCI-SNU-5
SR,SR,SR
ST486,ST486,ST486
SUDHL10,,SU-DHL-10
SUDHL5,,SU-DHL-5
SUDHL6,,SU-DHL-6
SW1088,SW1088,SW1088
SW1116,SW1116,SW1116
SW1353,,SW 1353
SW1417,SW1417,SW1417
SW1463,SW1463,SW1463
SW1573,SW1573,SW1573
SW1783,SW1783,SW1783
SW1990,SW1990,SW1990
SW403,,SW403
SW48,SW48,SW48
SW480,,SW480
SW620,SW620,SW620
SW684,SW684,
SW780,SW780,SW780
SW837,SW837,SW837
SW872,SW872,
SW900,SW900,SW900
SW948,SW948,SW948
SW954,SW954,
SW962,SW962,
SW982,SW982,
T84,T84,T84
THP1,THP-1,THP-1
Toledo,,Toledo
TT,TT,TT
U266B1,U-266,U-266
UACC812,UACC-812,UACC-812
UMC11,UMC-11,
UMUC3,UM-UC-3,UM-UC-3
WM115,WM-115,WM-115
YPAC,YAPC,YAPC
